num_posts,password,last_login,is_superuser,groups,user_permissions,id,email,activation_code,popularity,password_reset_code,invites,test,posting_credits,voting_credits,secondary_credits,paypal_email,deactivated_on,new_proposed_email,frozen_on,date_joined,is_staff,user_type
6,pbkdf2_sha256$120000$yEKFk68y6AJk$TOBufZv0MjySCi9ro+m+4Djx32hVWE2QV/6TRp0ucm0=,,0,,,12d7bf7a-aacb-438c-8e1d-9e4cb41f4b62,test5@g.com,,0.000000,,7,0,5.000000,10.000000,0.000000,,,,,2020-07-09 19:45:14,0,GENERAL_USER
0,pbkdf2_sha256$120000$R7NB5G9eR2ga$M5EQDP2BXkJTb28jCuMYOBLPqKfpzPmPewIUTZuy380=,,0,,,fd8aaca7-ecfd-4c0d-be36-65844b965b1f,test6@g.com,,0.000000,,7,0,1.000000,10.000000,0.000000,,,,,2020-07-11 10:30:15,0,GENERAL_USER
1,pbkdf2_sha256$120000$SUQe2mt395v7$CDJhUvECl17i4cFvAt+CeMMPfaXlZAe0ocDGzHLQUlE=,,0,,,bdf037d8-1667-489a-99e7-b186462d23e8,test1@g.com,,0.000000,,7,0,0.000000,10.000000,0.000000,,,,,2020-07-09 19:18:44,0,GENERAL_USER
0,pbkdf2_sha256$120000$nS6xLgTKpLEI$IuiZqN32hFADajVFhxt0XhmBWR9KIWDXrvVQ1MmvWKU=,,0,,,75d50991-f33f-488b-963f-7daef6645986,test3@g.com,,0.000000,,7,0,1.000000,10.000000,0.000000,,,,,2020-07-09 19:33:24,0,GENERAL_USER
1,pbkdf2_sha256$120000$ey6kVxJDq2qF$JX7zGMWpvdbksbOhpDvJiAd0c5JD8CVpwffZNA+yguE=,,0,,,c8268fe1-f060-4c8a-81d9-2ba1cb605e97,test7@g.com,,0.000000,,7,0,0.000000,10.000000,0.000000,,,,,2020-07-09 19:51:06,0,GENERAL_USER
1,pbkdf2_sha256$120000$NEUmg2JiyI6c$1DLG76v6MAvZ6n/ArhKn/V2qxiK5WBc8LFvVLgrAKy4=,,0,,,82f61706-4299-4497-90dd-e45769147589,test10@g.com,,0.000000,,7,0,0.000000,10.000000,0.000000,,,,,2020-07-09 23:34:58,0,GENERAL_USER
1,pbkdf2_sha256$120000$NCeeNPFJuaDa$MF1Q37JWzr8F7gTSqTRgFJ1i6sUegjRBORtcDWpICpQ=,,0,,,52bb6f6c-b9ca-44df-b329-4e504ef4bac7,a@g.com,,0.000000,,7,0,0.000000,10.000000,0.000000,,,,,2020-07-05 07:18:54,0,GENERAL_USER
1,pbkdf2_sha256$120000$YkrwxQae9Xof$T6ziC3O2jsT2O//vDX0Nbz6o2DPj57o28Ku+k383wSc=,,0,,,c17f4c25-fe68-4e11-9acf-a45e7904b2a4,test1234@g.com,,0.000000,,7,0,0.000000,10.000000,0.000000,,,,,2020-07-10 01:08:42,0,GENERAL_USER
1,pbkdf2_sha256$120000$fXSAZYMQqbOg$OlrzJBRzETVnlxh3o9GFRif9i4oyv43ufjZSrn2XjZw=,,0,,,e48af773-4d35-41b6-aa61-bde76cca8745,test2@g.com,,0.000000,,7,0,0.000000,10.000000,0.000000,,,,,2020-07-09 19:15:31,0,GENERAL_USER
3,pbkdf2_sha256$120000$mViORImC463X$0qS+vtraz1UPQ6euzO4TIN21ywW2UHyiAG+QFz1xuOQ=,,1,,,93d4ad9d-afb6-4344-97a4-4b4bf9f15bb1,admin@gmail.com,,0.000000,,7,0,3.000000,10.000000,0.000000,,,,,2020-07-01 01:02:12,1,GENERAL_ADMIN
1,pbkdf2_sha256$120000$3agXVIA2IV6k$0Fom8wq6YC4+WXSJoX5zWb0WJXHZ06ywlNvLZKEHM5A=,,0,,,2e5f2edf-180b-48bf-a8fe-8f8a468c8057,admin@admin.com,,0.000000,,7,0,10.000000,10.000000,0.000000,,,,,2020-07-01 00:59:53,0,GENERAL_USER
